timestep,num_susceptible,num_infected,num_recovered
0,495,291,190
1,598,327,83
2,166,363,55
3,634,196,92
4,343,250,23
5,786,463,64
6,703,470,178
7,522,135,120
8,176,274,20
9,403,407,61
10,599,58,78
11,367,343,149
12,522,384,138
13,173,24,38
14,129,66,185
15,435,393,125
16,124,267,103
17,368,317,88
18,644,240,173
19,349,351,134
20,335,166,25
21,589,280,106
22,218,482,105
23,329,217,143
24,207,236,86
25,586,469,170
26,678,405,178
27,348,180,29
28,371,220,180
29,332,49,122
30,452,428,48
31,406,348,40
32,230,121,187
33,451,299,36
34,697,390,65
35,253,412,166
36,744,402,146
37,605,9,108
38,143,92,103
39,272,20,143
40,715,200,95
41,305,19,76
42,278,315,77
43,701,106,163
44,148,204,54
45,396,380,174
46,241,158,112
47,231,364,63
48,434,265,194
49,608,358,19
